"Provider Name"," Number of Certified Beds"
"LAWRENCE MEMORIAL HOSPITAL SNF",17
"MERCYHEALTH JAVON BEA HOSPITAL -SNF",17
"SNU ARMSTRONG CO MEMORIAL HOSP",17
"SOUTHSIDE CARE CENTER",17
"BRECKINRIDGE MEMORIAL NURSING FACILITY",18
"CARMEL HOME",18
"LAREDO MEDICAL CENTER",18
"LEE MEMORIAL HOSPITAL SKILLED NURSING UNIT",18
"LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE",18
"MORRIS NURSING HOME",18
"PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA- CLINTO",18
"QUYANNA CARE CENTER",18
"RANGER CARE CENTER",18
"RETREAT AT THE STRATFORD, THE",18
"SALEM MEMORIAL DISTRICT HOSPITAL",18
"SOUTHWEST MEDICAL CENTER SNF",18
"SUMMIT SQUARE",18
"USC VERDUGO HILLS HOSPITAL DP/SNF",18
"UTUQQANAAT INAAT",18
"WITHAM EXTENDED CARE",18
"YUKON KUSKOKWIM ELDER'S HOME",18
"HAVASU REGIONAL MEDICAL CENTER",19
"HOMESTEAD NURSING AND REHABILITATION OF BAIRD",19
"LUTHER OAKS",19
"MCLAREN LAPEER REGION",19
"MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY",19
"MERCYONE CENTERVILLE MEDICAL CENTER",19
"PARK REST HARDIN COUNTY HEALTH CENTER",19
"PRESBYTERIAN CTR FOR CONT CARE",19
"SCHEURER HOSPITAL LTCU",19
"SERVICIOS INTEGRADOS DE REHABILITACION (SIRO) INC",19
"SHARON TOWERS",19
"ST ALEXIUS TRANSITIONAL CARE UNIT",19
"ST. MARY'S HOSPITAL",19
"THE ROYAL HOME",19
"WESTON SENIOR LIVING CENTER AT HIGHFIELD",19
"WHITTIER WESTBOROUGH TRANSITIONAL CARE UNIT",19
"ALDERSLY SKILLED NURSING FACILITY",20
"ARTHUR B HODGES CENTER, THE",20
"BLESSING HOSPITAL SNU",20
"BUCKNER WESTMINSTER PLACE",20
"CITIZENS MEDICAL CENTER",20
"CLARA MAASS MEDICAL CENTER",20
"COVENANT MEDICAL CENTER,  INC",20
"DAKOTA  ALPHA",20
"DAVIS HEALTH & WELLNESS CTR AT CAMBRIDGE VILLAG",20
"EAST CASCADE RETIREMENT COMMUNITY, LLC",20
EASTMONT,20
"EMERSON REHABILITATION & TRANSITIONAL CARE UNIT",20
"FORKS COMMUNITY HOSPITAL, LTCU",20
"FORREST GENERAL HOSPITAL SKILLED NURSING UNIT",20
"FRIENDS HOMES WEST",20
"GAYE HAVEN INTERMEDIATE CARE FACILITY",20
"GRAND AVENUE REST HOME",20
"HENDRICK SKILLED NURSING FACILITY",20
"HI'OLANI CARE CENTER AT KAHALA NUI",20
"KAUAI VETERANS MEMORIAL HOSPITAL",20
"KENDAL AT GRANVILLE",20
"KINGS DAUGHTERS MEDICAL CENTER",20
"MAPLE VIEW MANOR",20
"MARSH'S EDGE",20
"MEADOW LAKE HEALTH CENTER",20
"MERCYONE SIOUXLAND MEDICAL CENTER",20
"MOUNT SINAI SOUTH NASSAU T C U",20
"MOUNT VERNON HEALTH AND REHABILITATION CENTER",20
"MOUNTAIN VIEW CARE CENTER",20
"MOUNTAINS COMMUNITY HOSP DPSNF",20
"OTTERBEIN NORTH SHORE",20
"OTTERBEIN SUNSET HOUSE",20
"PHELPS HEALTH",20
"POWER COUNTY NURSING HOME",20
"PRAIRIEVIEW AT THE GARLANDS",20
"REGIONAL ONE HEALTH SUBACUTE CARE",20
"REHABILITATION CENTER AT BRETHREN VILLAGE LLC",20
"SIGNATURE HEALTHCARE AT U OF L MARY & ELIZABETH H",20
"ST JOHN'S PENFIELD HOMES",20
"ST LUKE'S REHAB - ELKS SUB ACUTE REHAB UNIT",20
"THE KNOLLS",20
"THE VILLAGE AT ORCHARD RIDGE",20
"TIFFIN REHABILITATION CENTER",20
"UPMC MAGEE-WOMENS HOSPITAL TCU",20
"UPSTATE UNIVERSITY HOSP AT COMMUNITY GENERAL T C U",20
"VALLEY HEALTH CENTER",20
"VILLAGE AT HILLSIDE",20
"WHITTIER BRADFORD TRANSITIONAL CARE UNIT",20
"WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO",20
"WINDSOR MEDICAL CENTER INC",20
"BEACON HILL",21
"BEAR VALLEY COMMUNITY HOSPITAL",21
"GARFIELD COUNTY NURSING HOME",21
"HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE D/P SNF",21
"HRH TRANSITIONAL CARE UNIT(A D/B/A ENTITY OF HRHS)",21
"LAKE MINNETONKA CARE CENTER",21
"MELLEN MANOR HEALTH & REHABILITATION",21
"MIRABELLA AT ASU",21
"NEW ENGLAND SINAI HOSPITAL TRANSITIONAL CARE UNIT",21
"SOUTHERN CALIFORNIA HOSP AT CULVER CITY D/P SNF",21
"STRAND-KJORSVIG COMMUNITY REST HOME",21
"BRIAR CREEK HEALTH CENTER",22
"CANDLER SKILLED NURSING UNIT",22
"CARITAS CENTER, INC",22
"MERCYONE NORTH IOWA MEDICAL SERVICES",22
"ORCHARD CREEK SKILLED NURSING",22
"PALO ALTO COUNTY HOSPITAL",22
"PENN STATE HEALTH TRANSITIONAL CARE",22
"PRESBYTERIAN HOME OF SC - FOOTHILLS",22
"PRESBYTERIAN HOME OF SOUTH CAROLINA-COLUMBIA",22
"PROVIDENCE KODIAK ISLAND MED LTC",22
"SHERMAN OAKS HOSPITAL SNF DP",22
"ST JOSEPH RESIDENCE",22
"ST LUKE'S HOSPITAL SACRED HEART CAMPUS TCF",22
"STILL HOPES EPISCOPAL RETIREMENT COMMUNITY",22
"SUNPORCH OF SMITH COUNTY",22
"SURPRISE VALLEY COMMUNITY HOSPITAL D/P SNF",22
"VINEYARDS AT CONCORD, THE",22
"WEST ANAHEIM MEDICAL CENTER D/P SNF",22
"WHITTIER HOSPITAL MEDICAL CTR D/P SNF",22
"WILMOT CARE CENTER INC",22
"WINDSORMEADE OF WILLIAMSBURG",22
"WOOSTER COMMUNITY HOSPITAL SNF",22
"BAPTIST MEMORIAL HOSPITAL GT",23
"BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL SKIL",23
"KINDRED HOSPITAL EAST GREENSBORO",23
"MERCY CIRCLE",23
"OAKS HEALTH CTR AT THE MARSHES OF SKIDAWAY ISLAND",23
"REST HAVEN NURSING HOME",23
"RIDDLE MEMORIAL HOSP HB SNF",23
"RUSSELL REGIONAL HOSPITAL LTCU",23
"SAN LUIS TRANSITIONAL CARE",23
"SANFIELD REHAB & LIVING CENTER",23
"SPRINGS AT WATERMARK 3030 PARK, THE",23
"THE HOME PLACE AT MIDWAY",23
"ASPEN RIDGE OF UTAH VALLEY",24
"AVANTARA ARLINGTON",24
"BRECKINRIDGE PLACE",24
"CANTERBURY WOODS",24
"CARE CONNECTION RAHWAY",24
"CAREMERIDIAN LLC, DBA NEURORESTORATIVE",24
"CLINCH VALLEY MEDICAL CENTER",24
"COFFEY COUNTY HOSPITAL LTCU",24
"DEUPREE COTTAGES",24
"EDDY VILLAGE GREEN AT BEVERWYCK",24
"FLORIDA BAPTIST RETIREMENT CENTER",24
"FORT SANDERS TCU",24
"FOWLER RESIDENTIAL CARE",24
"GOLDEN YEARS HEALTH CENTER",24
"GRACE LUTH COMMUNITIES-PRAIRIE POINTE REHAB SUITES",24
"HELEN HAYES HOSPITAL T C U",24
"HOOSIER VILLAGE",24
"LEFA SERAN SNF",24
"MARYLAND BAPTIST AGED HOME",24
"MEDFORD LEAS",24
"MINNIE HAMILTON HEALTH CARE",24
"MOUNT ST MARY",24
"NEURORESTORATIVE 4KIDS -BUFFALO",24
"NEWTON VILLAGE HEALTH CARE CENTER",24
"O'CONNOR HOSPITAL D/P SNF",24
"PATTY ELWOOD CENTER",24
"RIVERVIEW HOSPITAL & NURSING HOME",24
"SOUTH LINCOLN NURSING CENTER",24
"ST BENEDICTS SENIOR COMMUNITY",24
"STAR VALLEY CARE CENTER",24
"THE COVINGTON CARE CENTER",24
"THE STEVEN AND ALEXANDRA COHEN PED L T C PAVILION",24
"VI AT HIGHLANDS RANCH SKILLED NURSING",24
"VI AT SILVERSTONE, A VI AND PLAZA COMPANIES COMMUN",24
"WALLACE COUNTY COMMUNITY CARE CENTER, INC",24
"WILLIS-KNIGHTON EXTENDED CARE CENTER",24
"BATTLE MOUNTAIN GENERAL HOSPITAL",25
"BOWERSTON HILLS  NURSING & REHABILITATION",25
"BROAD CREEK CARE CENTER",25
"CARL T CURTIS HEALTH EDUCATION CENTER NURSING HOME",25
"CLARK REGIONAL MEDICAL CENTER",25
"COMMUNITY MEDICAL CENTER TCU",25
"CORNERSTONE RETIREMENT COMMUNITY",25
"CRYSTAL CARE CENTER OF PORTSMOUTH",25
"DAMAS HOSPITAL SNF",25
"EAST LOS ANGELES DOCTORS HOSP",25
"EMANATE HEALTH INTER-COMMUNITY HOSPITAL- D/P SNF",25
"GARDENS AT CELINA",25
"GARDENS AT ST HENRY THE",25
"HANNA HOUSE SKILLED NURSING CE",25
"HARMONY PHYSICAL REHABILITATION",25
"HELEN HAYES HOSPITAL R H C F",25
"HIMA SAN PABLO CUPEY SNF",25
"JONES CONVALESCENT HOSPITAL",25
"LAKESIDE NEUROLOGIC",25
"LANGDON PLACE OF KEENE",25
"MACNEAL HOSPITAL SNF",25
"MANAWA COM NUR CTR",25
"MAPLE VALLEY NURSING HOME",25
"MERIT HEALTH WESLEY",25
"OSTRANDER CARE AND REHAB",25
"PERSHING GENERAL HOSPITAL SNF",25
"PIONEER LODGE",25
"PRIDE TLC THERAPY AND LIVING CAMPUS",25
"RIDGEVIEW TERRACE LONG TERM CARE",25
"ROBERT A  BARNES CENTER",25
"SAGE REHABILITATION HOSPITAL SNF",25
"SPARTANBURG HOSPITAL FOR RESTORATIVE CARE SNF",25
"ST JOSEPH'S RESIDENCE",25
"STANTON COUNTY HEALTH CARE FACILITY LTCU",25
"SUITES AT HOLLY CREEK CARE CENTER, THE",25
"SW VA M H INST GERI TRT CTR",25
"THE METHODIST HOSPITAL SNF",25
"THE PRESERVE",25
"VISTA VIEW CARE CENTER",25
"ALHAMBRA HOSPITAL MED CTR DP/SNF",26
"BERTRAND NURSING HOME",26
"CARLETON HEALTHCARE AND REHABILITATION CENTER",26
"CATHERINE'S CARE CENTER, INC",26
"CENTER FOR REHABILITATION AT HAMPTON WOODS THE",26
"CHILDRENS SPECIALIZED HOSPITAL TOMS RIVER",26
"CONTINUING HEALTHCARE AT STERLING SUITES",26
"EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI",26
"EASTPORT MEMORIAL NURSING HOME",26
"ENMOTION RECOVERY CARE",26
"FOREST HILL MANOR HEALTH CENTER",26
"GARRISON MEM HOSP NSG FAC",26
"GREELEY CARE HOME",26
"KANAWHA COMMUNITY HOME, INC.",26
"LAKEVIEW HOUSE SKLD NRSG  AND RESIDENTIAL CARE FAC",26
"MEADOW MANOR",26
"OAK BEND MEDICAL CENTER",26
"OAKLAND NURSING CENTER",26
"ODD FELLOWS & REBEKAHS' HOME OF MAINE",26
"POLARIS HEALTHCARE AND REHABILITATION CENTER",26
"PRESENCE ST JOSEPH HOSPITAL - CHICAGO",26
"SKYLYN NURSING AND REHABILITATION CENTER",26
"ST ELIZABETH FT THOMAS SNF",26
"ST. JOSEPH'S HOSPITAL",26
"TELFORD TERRACE",26
"VILLA CREST, LLC",26
"ATHENS HEALTHCARE AND REHABILITATION CENTER",27
"BAYWOODS OF ANNAPOLIS",27
"BROOKSIDE VILLAGE INC",27
"CHAPMAN GLOBAL MEDICAL CENTER D/P SNF",27
"CHILDRENS HC ORG NO CA -PEDIATRIC HOSPITAL D/P SNF",27
"GOOD SAMARITAN SOCIETY - ARLINGTON",27
"GREATER BALTIMORE MEDICAL CENTER SUB ACUTE UNIT",27
"HERITAGE SQUARE",27
"HILL TOP HOUSE",27
"KADOKA NURSING HOME",27
"LITTLE SISTERS OF THE POOR",27
"SAN FRANCISCO TOWERS",27
"STRATFORD VILLA POST-ACUTE",27
"VALLEY OF THE MOON POST ACUTE",27
"VILLA MARIA WEST SKILLED NURSING FACILITY",27
"WESTMINSTER CANTERBURY BLUE RI",27
"WHITE MEMORIAL MEDICAL CTR DP",27
"ACCURA HEALTHCARE OF BANCROFT",28
"BEAVER CITY MANOR",28
"BOUNDARY COUNTY NURSING HOME",28
"CLARK FORK VALLEY NURSING HOME",28
"COLFAX HEALTH AND REHABILITATION CENTER",28
"COOK COMMUNITY HOSPITAL C&NC",28
"COX MEDICAL CENTERS MEYER ORTHOPEDIC AND REHAB",28
"DIAMOND CARE CENTER",28
"DUNSEITH COM NURSING HOME",28
"DWELLING PLACE AT ST CLARES",28
"EASTERN STAR HOME OF SOUTH DAKOTA, INC",28
EASTRIDGE,28
"ENCINO HOSPITAL MEDICAL CENTER D/P SNF",28
"FAIRVIEW UNIVERSITY TRANS SERV",28
"GARDEN VIEW CARE CENTER AT DOUGHERTY FERRY",28
"GRAND ROYALE, THE",28
"HERITAGE REHAB & LIVING CTR",28
"HUMBOLDT COUNTY MEMORIAL HOSPI",28
"LAKE ANDES SENIOR LIVING",28
"MERCY MANOR TRANSITION CENTER",28
"NORTHSHORE EXTENDED CARE HOSPITAL",28
"ON WITH LIFE",28
"PARK SHORE",28
"REGENCY OLYMPIA REHABILITATION AND NURSING CENTER",28
"RICHARDTON HEALTH CENTER INC",28
"SHANNON MEDICAL CENTER",28
"SOUTH PENINSULA HOSPITAL LTC",28
"SPRENGER HEALTH CARE OF MASSILLON SNF",28
"SWIFT CREEK HEALTH CENTER",28
"TCU AT NAZARETH HOSPITAL, THE",28
"THE BROOK AT HIGH FALLS NURSING HOME AND REHAB CTR",28
"THE SHEPHERD'S CENTER",28
"TRIPOLI NURSING & REHAB",28
"WE CARE SKILLED NURSING FACILITY",28
"WESTLAND HOUSE",28
"WINDSOR MANOR",28
"ADVANCED CARE CENTER OF BUTLER",29
"AIDAN SENIOR LIVING AT REEDSPORT",29
"ASCENSION STANDISH HOSPITAL & SKILLED NURSING FAC",29
"AVANTARA CLARK CITY",29
"BEACON HILL AT EASTGATE",29
"CHOWCHILLA MEMORIAL HEALTHCARE DISTRICT",29
"COLUMBIA ST. FRANCIS HOSPITAL",29
"DIMENSIONS LIVING BURR RIDGE",29
"KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE",29
"KIOWA HOSPITAL DISTRICT MANOR",29
"MAPLE HEALTHCARE AND REHAB",29
"NORTH WINDS LIVING CENTER",29
"OAKLAND MANOR NURSING & REHAB CENTER LLC",29
"PHILLIPS MANOR NURSING HOME",29
"REHAB PAVILION AT THE WEILS",29
"SILVER MEMORIES HEALTH CARE",29
"SPANISH FORK REHABILITATION AND NURSING",29
"SYRINGA CHALET NURSING FACILITY",29
"THE SPRINGS",29
"WEDGEWOOD NURSING REHABILITATION CENTER",29
"ACCURA HEALTHCARE OF POMEROY, LLC",30
"ANDERSON COUNTY HOSPITAL LTCU",30
"ANTHONY COMMUNITY CARE CENTER",30
"ASHLEY MEDICAL CENTER NURSING HOME",30
"ASPEN TRANSITIONAL REHABILITATION",30
"ATLANTES THE",30
"AVERA SUNRISE MANOR",30
"BRADLEY CREEK HEALTH CENTER",30
"BRADLEY HOME & PAVILION, THE",30
"BRIGHTON GARDENS OF EDISON",30
"CAMELLIA ESTATES",30
"CARE & REHAB - LADYSMITH 2",30
"CAROL WOODS",30
"CHEYENNE COUNTY VILLAGE INC",30
CHRISTWOOD,30
"CLAY CENTER PRESBYTERIAN MANOR",30
"CLEARVIEW BRAIN INJURY CENTER",30
"COLONIAL SKILLED NURSING FACILITY LLC",30
"CONEMAUGH MEMORIAL MEDICAL CENTER TCU",30
"CRESTLINE REHABILITATION AND NURSING CENTER",30
"CRYSTAL CARE CENTER OF FRANKLIN FURNACE",30
"DEERFIELD HEALTH CARE CENTER",30
"DIMENSIONS LIVING PROSPECT HTS",30
"DOOR COUNTY MEMORIAL HOSPITAL SNF",30
"EAST PORTLAND CARE CENTER",30
"ELMWOOD ASSISTED LIVING & SKILLED NURSING OF FREMO",30
"FAIR HAVEN HOME INC",30
"FAIRFIELD MEMORIAL HOSPITAL",30
FOLKESTONE,30
"FOUR SEASONS RETIREMENT CENTER",30
"GALLERIA WOODS SKILLED NURSING FACILITY",30
"GARDENS AT TERRACINA HEALTH & REHABILITATION",30
"GOLDEN YEARS OF LAKE GENEVA",30
"GOOD SAMARITAN SOCIETY - BLACKDUCK",30
"GOOD SAMARITAN SOCIETY -- SIMLA",30
"GREENSBORO NURSING HOME",30
"GROSSMONT HOSPITAL D/P SNF",30
"HAMPSHIRE MEMORIAL HOSPITAL",30
"HERON'S KEY",30
"HICKORY CREEK AT NEW CASTLE",30
"JEANNE JUGAN RESIDENCE",30
"KINDRED HOSPITAL SOUTH FLORIDA HOLLYWOOD",30
"KIRBY PINES MANOR",30
"KULANA MALAMA",30
"LAKEVIEW EXTENDED CARE AND REHAB",30
"LANGDON PLACE OF DOVER",30
"LEEWAY, INC",30
"LEISURE HOMESTEAD AT ST JOHN",30
"LOGAN COUNTY SENIOR LIVING INC",30
"MCCAMEY CONVALESCENT CENTER",30
"MEDINA MEMORIAL HOSPITAL S N F",30
"MEMORIAL NURSING CENTER",30
"MENIG NURSING HOME",30
"MINERAL POINT HEALTH SERVICES",30
"MISSION VILLAGE LIVING CENTER, INC",30
"NESS COUNTY HOSPITAL LTCU DBA CEDAR VILLAGE",30
"NEW ENGLAND HOMES FOR THE DEAF, INC",30
"NORTH PARK CARE CENTER",30
"OCHSNER MEDICAL CENTER SKILLED NURSING FACILITY",30
"OHIO LIVING CAPE MAY",30
"OUR LADY OF PEACE INC",30
"OUR LADY OF PERPETUAL HELP",30
"PALEMON GASKINS MEM NSG HOME",30
"PARKVIEW HOME",30
"PEARL NORDAN CARE CENTER - NURSING",30
"PINE VIEW TRANSITIONAL REHAB",30
"PIONEER HEALTH AND REHAB",30
"PIONEER MEMORIAL COMMUNITY HOSPITAL",30
"PROMONTORY POINT REHABILITATION",30
"RENAISSANCE PAVILION",30
"RIVER TERRACE HEALTH CARE CENTER",30
"ROCK COUNTY HOSPITAL LONG TERM CARE",30
"ROLLA PRESBYTERIAN MANOR",30
"SAINT FRANCIS MED CTR DP",30
"SAINT JOHNS ON THE LAKE",30
"SANFORD HILLSBORO CARE CENTER",30
"SCOTCHMAN LIVING CENTER",30
"SIERRA WINDS",30
"SINGING RIVER GULFPORT SKILLED NURSING FACILITY",30
"SKYTOP VIEW REHABILITATION CENTER",30
"ST ANTHONY CARE CENTER",30
"ST CATHERINE OF SIENA",30
"STANLEY HEALTHCARE CENTER",30
"STONEHENGE OF RICHFIELD",30
"STONES RIVER MANOR, INC",30
"SUN DIAL MANOR",30
"SUNNYSIDE CARE CENTER",30
"SUNTERRA SPRINGS RIVERVIEW",30
"THATCHER BROOK REHABILITATION & CARE CENTER",30
"THE ARBORETUM AT THE WOODLANDS",30
"THE HEALTH CENTER AT CONCORDIA",30
"THE TERRACES AT LOS ALTOS HEALTH FACILITY",30
"THE TRANSITIONAL CARE CENTER OF OWENSBORO",30
"THE VILLA REHAB",30
"TIOGA MEDICAL CENTER LTC",30
"TOWNER COUNTY LIVING CTR",30
"UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING",30
"VICAR'S LANDING NURSING HOME",30
"VILLA SIENA",30
"WALBRIDGE MEMORIAL CONVALESCENT WING",30
"WALSH HEALTHCARE CENTER",30
"WELLPARK AT SHANNONDALE",30
"WESLEY COURT HEALTH CENTER",30
"WESTMINSTER ST AUGUSTINE",30
"WINCHESTER GARDENS HEALTH CARE CENTER",30
"ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA SNF",30
"ALLEN MORGAN HEALTH AND REHABILITATION CENTER",31
"ASHBY CARE CENTER",31
"AVALON NURSING HOME INC",31
"AVANTARA REDFIELD",31
"DENVER SUNSET HOME",31
"EVERETT TRANSITIONAL CARE SERVICES",31
"GLEN MEADOWS RETIREMENT COM.",31
"GRACE MANOR CARE CENTER",31
"HARRIS HEALTH CENTER LLC",31
"IMPERIAL MANOR",31
"KADIMA REHABILITATION & NURSING AT LAKESIDE",31
"LAMPASAS NURSING AND REHABILITATION CENTER",31
"MAPLEWOOD PARK PLACE",31
"MEADOWBROOK AT BLOOMER",31
"NORTH STARR POSTACUTE CARE",31
"ROSEBUD HEALTH CARE CENTER",31
"SEILING NURSING CENTER",31
"SPECTRUM HEALTH REHAB & NSG CTRS-KELSEY HOSPITAL",31
"SUTTON COMMUNITY HOME, INC.",31
"THE JEFFERSON",31
"VALLEY VIEW COMMUNITY",31
"VALLEY VIEW REHABILITATION AND HEALTHCARE CTR",31
"VICTORIA HAVEN NURSING FACILITY",31
"VILLA MARIN",31
"WAVERLY HEIGHTS",31
"AUGUST HEALTHCARE AT RICHMOND",32
"BENCHMARK SNR LIVING AT THE COMMONS IN LINCOLN SNF",32
"BOWDLE NURSING HOME",32
"BRACKEN POST-ACUTE AND REHABILITATION CENTER",32
"BROOKSIDE REHABILITATION AND WELLNESS",32
"CAPITOL VIEW TRANSITIONAL CARE CENTER",32
"CARE & REHAB - LADYSMITH 1",32
"CASCADE MANOR",32
"CHARTER HOUSE",32
"COLDWATER MANOR",32
"COVE OF CASCADIA, THE",32
"COVENTRY HOUSE INN",32
"CROOK COUNTY MEDICAL SERVICES DISTRICT LTC",32
"D SCOTT HUDGENS CENTER FOR SKILLED NURSING, THE",32
"DAVIS CENTER",32
"DE LA SALLE HALL",32
"ESSENTIA HEALTH - HOMESTEAD",32
"FLORIDA HOSPITAL NORTH PINELLAS",32
"GILBERT RESIDENCE (THE)",32
"GOOD SAMARITAN SOCIETY - HOWARD LAKE",32
"GOOD SAMARITAN SOCIETY - WINTHROP",32
"GOOD SHEPHERD VILLAGE AT ENDWELL",32
"GOTTLIEB MEMORIAL HOSPITAL",32
"GRAND MEADOWS",32
"GRAND RAPIDS CARE CENTER",32
"GREELEY COUNTY HOSPITAL LTCU",32
"HALE OLA KINO",32
"HARRIS HEALTH CARE CENTER NORTH",32
"HERITAGE ON THE MARINA",32
"KAUFMAN HEALTHCARE CENTER",32
"KING'S GRANT RETIREMENT COMMUN",32
"LAKEWOOD CARE CENTER",32
"LAUREL HEIGHTS COMMUNITY CARE",32
"LINDENGROVE WAUKESHA",32
"LUTHERAN SENIOR SERVICES AT BREEZE PARK",32
"MADISON VALLEY MANOR",32
"MAHNOMEN HEALTH CENTER",32
"MARINA GARDEN NURSING CENTER",32
"MEADVILLE MEDICAL CTR TCU",32
"ML-OP OXFORD, LLC",32
"NORWOOD HEALTH CTR-CENTRAL",32
"ON WITH LIFE AT GLENWOOD",32
"RUMFORD COMMUNITY HOME",32
"SEDGWICK COUNTY MEMORIAL NURSING HOME",32
"SHENANGO PRESBYTERIAN SENIORCARE",32
"SHEPHERD OF THE VALLEY POLAND",32
"SHERIDAN COUNTY HOSPITAL LTCU",32
"ST LUKE LIVING CENTER",32
"STONEHENGE OF SOUTH JORDAN, LLC",32
"SUN PRAIRIE HEALTH CARE CENTER",32
"THE GLEBE",32
"THE HALLMARK",32
"THE NICOL HOME",32
